Δt (hr),p̄ws (psia),,,,
0,2605.93,,,,
0.001,2610.68,,,,
0.0021,2615.82,,,,
0.0034,2621.38,,,,
0.0048,2627.4,,,,
0.0064,2633.91,,,,
0.0082,2640.91,,,,
0.0102,2648.43,,,,
0.0125,2656.46,,,,
0.0151,2665.02,,,,
0.018,2674.09,,,,
0.0212,2683.65,,,,
0.0249,2693.68,,,,
0.029,2704.12,,,,
0.0336,2714.93,,,,
0.0388,2726.04,,,,
0.0447,2737.36,,,,
0.0512,2748.81,,,,
0.0587,2760.29,,,,
0.067,2771.7,,,,
0.0764,2782.94,,,,
0.0869,2793.89,,,,
0.0988,2804.48,,,,
0.1121,2814.62,,,,
0.1271,2824.25,,,,
0.144,2833.33,,,,
0.163,2841.84,,,,
0.1844,2849.77,,,,
0.2085,2857.15,,,,
0.2355,2864.01,,,,
0.266,2870.4,,,,
0.3002,2876.36,,,,
0.3387,2881.96,,,,
0.3821,2887.24,,,,
0.4308,2892.26,,,,
0.4857,2897.05,,,,
0.5474,2901.66,,,,
0.6168,2906.11,,,,
0.6949,2910.42,,,,
0.7828,2914.63,,,,
0.8816,2918.73,,,,
0.9928,2922.76,,,,
1.118,2926.71,,,,
1.259,2930.6,,,,
1.417,2934.43,,,,
1.595,2938.21,,,,
1.796,2941.94,,,,
2.021,2945.64,,,,
2.275,2949.29,,,,
2.56,2952.91,,,,
2.881,2956.49,,,,
3.242,2960.04,,,,
3.648,2963.56,,,,
4.105,2967.04,,,,
4.619,2970.5,,,,
5.198,2973.92,,,,
5.848,2977.3,,,,
6.581,2980.65,,,,
7.404,2983.97,,,,
8.331,2987.24,,,,
9.373,2990.48,,,,
10.55,2993.66,,,,
11.87,2996.79,,,,
13.35,2999.87,,,,
15.02,3002.89,,,,
16.9,3005.84,,,,
19.01,3008.71,,,,
21.39,3011.5,,,,
24.06,3014.19,,,,
27.07,3016.78,,,,
30.46,3019.25,,,,
34.26,3021.59,,,,
38.55,3023.78,,,,
43.37,3025.8,,,,
48.79,3027.65,,,,
54.79,3029.27,,,,
60.79,3030.55,,,,
66.79,3031.56,,,,
72,3032.27,,,,
